name,en_name,size,kcal,sodium,sat_fat,sugar,protein,caffeine,allergy,image,desc_top,desc_bottom
아이스 라벤더 카페 브레베,Iced Lavender Cafe Breve,Tall(톨) / 355ml (12 fl oz),335,110,18,27,6,75,우유,https://image.istarbucks.co.kr/upload/store/skuimg/2016/12/[9200000000433]_20161213162207696.jpg,"[더종로R,청담스타R,한강진역R,홍대입구역사거리R,이대R 전용음료] 블랙이글로 추출한 리저브 에스프레소 샷과 은은한 라벤더향이 고급스럽게 어우러진 리저브 특화음료입니다.","[더종로R,청담스타R,한강진역R,홍대입구역사거리R,이대R 전용음료] 블랙이글로 추출한 리저브 에스프레소 샷과 은은한 라벤더향이 고급스럽게 어우러진 리저브 특화음료입니다. 보라색 라벤더꽃이 화려하게 장식된 부드럽고 세련된 풍미의 라벤더 카페 브레베를 만나보세요!"
아이스 스타벅스 돌체 라떼,Iced Starbucks Dolce Latte,Tall(톨) / 355ml (12 fl oz),230,145,2.5,35,10,150,우유,https://image.istarbucks.co.kr/upload/store/skuimg/2015/08/[128695]_20150803100201917.jpg,커피 향과 부드러움의 조화가 아주 멋진 아이스 커피 입니다.,스타벅스의 다른 음료보다 더욱 깊은 커피의 맛과 향에 깔끔한 무지방 우유와 부드러운 돌체 시럽이 들어간 음료로 외관이 아름다운 층을 이루고 있는 스타벅스의 클래식 아이스 라떼 입니다.
아이스 카페 라떼,Iced Caffe Latte,Tall(톨) / 355ml (12 fl oz),110,75,3.5,8,6,75,우유,https://image.istarbucks.co.kr/upload/store/skuimg/2015/08/[110569]_20150813221315652.jpg,에스프레소 샷과 시원한 우유와 얼음으로 고소한 음료.,풍부하고 진한 농도의 에스프레소에 시원한 우유를 더하여 우유의 고소함과 에스프레소의 강렬함이 차가운 얼음과 어우러져 시원하게 즐기실 수 있는 커피 입니다. 스타벅스만의 전용 두유를 사용하여 나만의 음료를 즐기세요! 스타벅스 두유는 커피와 부드러운 조화를 이룹니다.
카페 라떼,Caffe Latte,Tall(톨) / 355ml (12 fl oz),180,115,5,13,10,75,우유,https://image.istarbucks.co.kr/upload/store/skuimg/2015/08/[41]_20150813221357154.jpg,에스프레소 샷과 따뜻한 우유와 거품으로 마무리된 음료.,"풍부하고 진한 농도의 에스프레소가 신선한 스팀밀크를 만나 부드러워진 커피 위에 우유거품을 살짝 얹은 음료로, 전세계적으로 스타벅스에서 가장 인기 있는 커피 음료입니다. 스타벅스만의 전용 두유를 사용하여 나만의 음료를 즐기세요! 스타벅스 두유는 커피와 부드러운 조화를 이룹니다."
아이스 카페 모카,Iced Caffe Mocha,Tall(톨) / 355ml (12 fl oz),250,70,8,21,7,95,우유,https://image.istarbucks.co.kr/upload/store/skuimg/2015/08/[110566]_20150813221545269.jpg,모카시럽과 시원한 우유에 휘핑크림이 토핑된 에스프레소 음료.,진한 초콜릿 모카 시럽과 풍부한 에스프레소의 조화에 시원한 우유가 어우러져 달콤함과 풍부함이 어우러진 음료로 시원한 얼음위에 휘핑 크림을 얹어 달콤함이 특징인 커피 음료입니다.
아이스 화이트 초콜릿 모카,Iced White Chocolate Mocha,Tall(톨) / 355ml (12 fl oz),350,150,11,41,8,75,우유,https://image.istarbucks.co.kr/upload/store/skuimg/2015/08/[110572]_20150803102719457.jpg,화이트 초콜릿과 시원한 우유가 첨가된 에스프레소 음료.,"달콤하고 부드러운 화이트 초콜릿 시럽과 에스프레소를 시원한 우유와 혼합한 후 휘핑크림으로 마무리한 음료로, 풍부한 달콤함과 강렬한 에스프레소가 부드럽게 어우러진 커피 입니다."
카페 모카,Caffe Mocha,Tall(톨) / 355ml (12 fl oz),290,105,9,25,10,95,우유,https://image.istarbucks.co.kr/upload/store/skuimg/2015/08/[46]_20150803105115048.jpg,모카시럽과 스팀밀크에 휘핑크림이 토핑된 에스프레소.,"진한 초콜릿 모카 시럽과 풍부한 에스프레소를 스팀밀크와 혼합한 후 휘핑크림으로 마무리한 음료로써, 진한 에스프레소와 초콜릿 맛이 어우러진 커피입니다."
화이트 초콜릿 모카,White Chocolate Mocha,Tall(톨) / 355ml (12 fl oz),390,190,11,45,12,75,우유,https://image.istarbucks.co.kr/upload/store/skuimg/2015/08/[128192]_20150803101501857.jpg,화이트 초콜릿과 스팀밀크가 첨가된 에스프레소 음료.,"달콤하고 부드러운 화이트 초콜릿 시럽과 에스프레소를 스팀밀크와 혼합한 후 휘핑크림으로 마무리한 음료로, 풍부한 달콤함과 강렬한 에스프레소가 부드럽게 어우러진 커피 입니다."
바닐라 플랫 화이트,Vanilla Flat White,Tall(톨) / 355ml (12 fl oz),220,130,5,23,9,260,우유,https://image.istarbucks.co.kr/upload/store/skuimg/2019/09/[9200000002406]_20190917152957184.jpg,스타벅스 리스트레토 샷과 향긋한 바닐라 풍미가 더해진 진하고 달콤한 음료.,바닐라 플랫 화이트는 진하고 고소한 리스트레토 샷과 적은 양의 우유로 환상적인 조화를 느낄 수 있습니다.
바닐라 스타벅스 더블 샷,Vanilla Starbucks Double Shot,207ml (7 fl oz),125,30,4.5,14,2,145,우유,https://image.istarbucks.co.kr/upload/store/skuimg/2018/10/[110612]_20181022143635434.jpg,"신선하게 제조된 더블 샷 믹스에 바닐라 시럽을 넣고 에스프레소 샷, 얼음이 어우러져 핸드 쉐이킹한 음료입니다.","신선하게 제조된 더블 샷 믹스에 바닐라 시럽을 넣고 에스프레소 샷, 얼음이 어우러져 핸드 쉐이킹한 음료입니다."
블론드 리스트레토 마키아또,Blonde Ristretto Macchiato,Tall(톨) / 355ml (12 fl oz),265,140,6,33,9,150,,https://image.istarbucks.co.kr/upload/store/skuimg/2019/04/[9200000002191]_20190415144850803.jpg,블론드 에스프레소의 달콤하고 시트러스한 풍미의 매력을 블론드 리스트레토 마키아또로 즐겨보세요!,블론드 에스프레소의 달콤하고 시트러스한 풍미의 매력을 블론드 리스트레토 마키아또로 즐겨보세요!
블론드 에스프레소 토닉,Blonde Espresso Tonic,Tall(톨) / 355ml (12 fl oz),80,30,0,17,1,170,,https://image.istarbucks.co.kr/upload/store/skuimg/2019/04/[9200000002188]_20190415144717933.jpg,블론드 에스프레소와 시트러스한 풍미의 토닉 워터가 어우러진 블론드 에스프레소 토닉을 상쾌하게 즐겨보세요!,블론드 에스프레소와 시트러스한 풍미의 토닉 워터가 어우러진 블론드 에스프레소 토닉을 상쾌하게 즐겨보세요!
아이스 블론드 리스트레토 마키아또,Iced Blonde Ristretto Macchiato,Tall(톨) / 355ml (12 fl oz),215,95,3.8,28,6,150,,https://image.istarbucks.co.kr/upload/store/skuimg/2019/04/[9200000002194]_20190415144953517.jpg,블론드 에스프레소의 달콤하고 시트러스한 풍미의 매력을 아이스 블론드 리스트레토 마키아또로 즐겨보세요!,블론드 에스프레소의 달콤하고 시트러스한 풍미의 매력을 아이스 블론드 리스트레토 마키아또로 즐겨보세요!
에스프레소,Espresso,Solo(솔로) / 22ml (0.75 fl oz),5,0,0,0,0,75,,https://image.istarbucks.co.kr/upload/store/skuimg/2015/08/[20]_20150813221922951.jpg,스타벅스의 핵심인 강렬하고 카라멜향이 달콤한 음료,"스타벅스 에스프레소는 향기로운 크레마층과 바디층, 하트 층으로 이루어져 있으며, 입안 가득히 커피와 달콤한 카라멜 향이 느껴지는 커피 음료입니다. 스타벅스 에스프레소는 모든 커피 음료의 기본이 되며, 깊고 강렬한 커피를 좋아하는 ‘Coffee mania’에게 추천해 드리며, 에스프레소는 만들어지는 즉시 드시는 것이 가장 맛있습니다."
카라멜 스타벅스 더블 샷,Caramel Starbucks Double Shot,207ml (7 fl oz),125,28.5,5,14,3,150,우유,https://image.istarbucks.co.kr/upload/store/skuimg/2018/10/[110613]_20181022143659612.jpg,"신선하게 제조된 더블 샷 믹스에 카라멜 시럽을 넣고 에스프레소 샷, 얼음이 어우러져 핸드 쉐이킹한 음료입니다.","신선하게 제조된 더블 샷 믹스에 카라멜 시럽을 넣고 에스프레소 샷, 얼음이 어우러져 핸드 쉐이킹한 음료입니다."
커피 스타벅스 더블 샷,Coffee Starbucks Double Shot,207ml (7 fl oz),125,28.5,5,14,3,150,우유,https://image.istarbucks.co.kr/upload/store/skuimg/2015/08/[110611]_20150813220251638.jpg,"신선하게 제조된 더블 샷 믹스에 클래식 시럽을 넣고 에스프레소 샷, 얼음이 어우러져 핸드 쉐이킹한 음료입니다.","신선하게 제조된 더블 샷 믹스에 커피, 바닐라, 카라멜, 헤이즐넛 4종류 중 선택된 시럽을 넣고 에스프레소 샷, 얼음이 어우러져 핸드 쉐이킹한 음료입니다."
클래식 아포가토,Classic Affogato,Tall(톨) / 355ml (12 fl oz),225,70,10,18,3,0,우유,https://image.istarbucks.co.kr/upload/store/skuimg/2018/07/[9200000001631]_20180726125701691.jpg,[리저브R 매장 전용음료] 리저브 에스프레소 투 샷이 바닐라 아이스크림과 진하게 어우러진 정통 아포가토,최고의 에스프레소 머신에서 추출한 리저브의 에스프레소 샷의 깊은 풍미와
헤이즐넛 스타벅스 더블 샷,Hazelnut Starbucks Double Shot,207ml (7 fl oz),125,28.5,5,14,3,150,우유,https://image.istarbucks.co.kr/upload/store/skuimg/2018/10/[110614]_20181022143713157.jpg,"신선하게 제조된 더블 샷 믹스에 헤이즐넛 시럽을 넣고 에스프레소 샷, 얼음이 어우러져 핸드 쉐이킹한 음료입니다.","신선하게 제조된 더블 샷 믹스에 헤이즐넛 시럽을 넣고 에스프레소 샷, 얼음이 어우러져 핸드 쉐이킹한 음료입니다."
블랙 와플칩 크림 프라푸치노,Black Waffle chip Cream Frappuccino,Tall(톨) / 355ml (12 fl oz),455,160,11,47,6,11,대두 / 우유 / 난류 / 밀,https://image.istarbucks.co.kr/upload/store/skuimg/2020/04/[9200000002745]_20200403132226636.jpg,"블랙 와플칩 쿠키를 통째로 갈아서 만든 매력만점 프라푸치노!
시크한 블랙 와플과 부드러운 크림 프라푸치노가 어우러진,
겉은 시크하지만 속은 부드러운 반전매력 블랙 와플칩 크림 프라푸치노",블랙 와플칩 쿠키를 통째로 갈아서 만든 매력만점 프라푸치노!
제주 청보리 크림 프라푸치노,Jeju Green Barley Cream Frappuccino,Grande(그란데) / 473ml (16 fl oz),385,240,9,54,8,0,,https://image.istarbucks.co.kr/upload/store/skuimg/2020/02/[9200000002668]_20200220135328820.jpg,"[제주지역 한정음료] 제주 바람의 숲 가파도를 연상시키는
음료로 청보리의 풋풋하고 고소함이 함께 느껴지는 음료
제주 청보리 크림 프라푸치노로
더욱 시원하게 가파도 길을 느껴보세요.",[제주지역 한정음료] 제주 바람의 숲 가파도를 연상시키는
모카 프라푸치노,Mocha Frappuccino,Tall(톨) / 355ml (12 fl oz),280,180,6,36,5,90,우유,https://image.istarbucks.co.kr/upload/store/skuimg/2015/08/[168004]_20150813221231921.jpg,"초콜릿, 커피와 얼음이 갈린 음료에 휘핑크림이 토핑된 음료.
라이트 프라푸치노용 시럽 선택 가능-Tall 사이즈 기준, 25% 이상 줄어든 저당(Low Sugar)으로 즐기실 수 있습니다.",'나만의 프라푸치노'로 변경되어 우유 선택과 커피 농도 조절이 가능한 블렌디드 음료입니다. 시원한 커피와 달콤한 초콜릿 모카 시럽이 잘 조화를 이루며 휘핑크림으로 마무리 된 커피 음료입니다.
에스프레소 프라푸치노,Espresso Frappuccino,Tall(톨) / 355ml (12 fl oz),140,125,1,22,3,120,우유,https://image.istarbucks.co.kr/upload/store/skuimg/2015/08/[168007]_20150813222212671.jpg,"에스프레소의 강렬함과 약간의 단맛을 시원하게 즐기는 프라푸치노.
라이트 프라푸치노용 시럽 선택 가능-Tall 사이즈 기준, 25% 이상 줄어든 저당(Low Sugar)으로 즐기실 수 있습니다.",'나만의 프라푸치노'로 변경되어 우유 선택과 커피 농도 조절이 가능한 블렌디드 음료입니다. 분쇄된 얼음과 시원한 커피에 풍부하고 진한 에스프레소 샷이 더해진 음료입니다. 좀 더 깊은 커피맛을 좋아하시는 분들께 추천해 드립니다.
이천 햅쌀 커피 프라푸치노,Icheon New Harvested Rice Coffee Frappuccino,Tall(톨) / 355ml (12 fl oz),270,200,2.2,41,5,85,대두 / 우유,https://image.istarbucks.co.kr/upload/store/skuimg/2019/04/[9200000002154]_20190423145139702.jpg,"간편하고 식사 대용으로 즐길 수 있는 새로운 이천햅쌀 커피 음료!
프라푸치노 커피 로스트와 햅쌀이 만나 더욱 복합적이고 고소한
곡물의 느낌이 살아있는 이천 햅쌀 프라푸치노의 커피 버전.",간편하고 식사 대용으로 즐길 수 있는 새로운 이천햅쌀 커피 음료!
자바 칩 프라푸치노,Java Chip Frappuccino,Tall(톨) / 355ml (12 fl oz),340,180,9,42,6,100,대두 / 우유 / 밀,https://image.istarbucks.co.kr/upload/store/skuimg/2015/08/[168016]_20150813231001890.jpg,"커피 프라푸치노에 초콜릿, 초콜릿 칩이 첨가된 아이스 블렌드로 달콤 아삭한 음료.
라이트 프라푸치노용 시럽 선택 가능-Tall 사이즈 기준, 25% 이상 줄어든 저당(Low Sugar)으로 즐기실 수 있습니다.",'나만의 프라푸치노'로 변경되어 우유 선택과 커피 농도 조절이 가능한 블렌디드 음료입니다. 초콜릿 모카 시럽 그리고 진한 초콜릿 칩이 입안에 느껴지는 스타벅스에서만 맛보실 수 있는 신개념 음료로 시원한 커피와 함께 초콜릿 칩의 씹히는 맛이 이색적입니다.
카라멜 프라푸치노,Caramel Frappuccino,Tall(톨) / 355ml (12 fl oz),300,190,7,39,4,85,우유,https://image.istarbucks.co.kr/upload/store/skuimg/2015/08/[168010]_20150813220356049.jpg,"카라멜 시럽이 더해진 커피 프라푸치노에 휘핑 크림, 카라멜이 장식된 음료.
라이트 프라푸치노용 시럽 선택 가능-Tall 사이즈 기준, 25% 이상 줄어든 저당(Low Sugar)으로 즐기실 수 있습니다.","'나만의 프라푸치노'로 변경되어 우유 선택과 커피 농도 조절이 가능한 블렌디드 음료입니다. 시원한 커피와 카라멜 시럽이 조화를 이루며 그위에 휘핑크림을 얹고 달콤한 카라멜로 장식한 커피 음료로, 스타벅스에서 여름에 가장 인기있는 음료입니다."
화이트 초콜릿 모카 프라푸치노,White Chocolate Mocha Frappuccino,Tall(톨) / 355ml (12 fl oz),320,210,7,43,5,85,우유,https://image.istarbucks.co.kr/upload/store/skuimg/2015/08/[168013]_20150806153343261.jpg,"화이트 초콜릿, 커피와 우유가 조합된 아이스 블렌드로 휘핑크림이 토핑된 음료.
라이트 프라푸치노용 시럽 선택 가능-Tall 사이즈 기준, 25% 이상 줄어든 저당(Low Sugar)으로 즐기실 수 있습니다.","'나만의 프라푸치노'로 변경되어 우유 선택과 커피 농도 조절이 가능한 블렌디드 음료입니다. 시원한 커피와 화이트 초콜릿 모카 시럽, 달콤한 휘핑크림이 조화를 이루며 코코아 파우더로 마무리한 음료입니다."
바닐라 크림 프라푸치노,Vanilla Cream Frappuccino,Tall(톨) / 355ml (12 fl oz),310,241,5.3,38,9,0,우유,https://image.istarbucks.co.kr/upload/store/skuimg/2015/08/[168054]_20150813220927322.jpg,"우유에 바닐라향이 조합된 아이스 블렌드로 휘핑크림이 토핑된 음료.
라이트 프라푸치노용 시럽 선택 가능-Tall 사이즈 기준, 25% 이상 줄어든 저당(Low Sugar)으로 즐기실 수 있습니다.",'나만의 프라푸치노'로 변경되어 우유 선택이 가능한 블렌디드 음료입니다. 신선한 우유와 크림 프라푸치노 특유의 풍미에 바닐라 시럽이 조화를 이루며 그 위에 휘핑크림으로 마무리된 음료입니다.
이천 햅쌀 크림 프라푸치노,Icheon New Harvested Rice Cream Frappuccino,Tall(톨) / 355ml (12 fl oz),240,200,2.2,33,5,0,대두 / 우유,https://image.istarbucks.co.kr/upload/store/skuimg/2019/04/[9200000001906]_20190423150021952.jpg,"우리 쌀 우리 음료 이천 햅쌀 크림 프라푸치노!
맛도 영양도 건강도 함께 챙길 수 있는 새로운 식감과
한국의 전통적인 느낌을 스타벅스만의 음료로 해석한 프라푸치노",우리 쌀 우리 음료 이천 햅쌀 크림 프라푸치노!
제주 까망 크림 프라푸치노,Jeju Black Sesame Cream Frappuccino,Grande(그란데) / 473ml (16 fl oz),600,330,7,79,9,0,대두 / 우유 / 밀,https://image.istarbucks.co.kr/upload/store/skuimg/2019/02/[9200000002088]_20190221165617635.jpg,"[제주지역 한정음료] 제주 까망 라떼의 프라푸치노 버전으로
쫄깃한 국내산 흑임자 떡과 블랙 소보로 토핑으로
컵빙수처럼 먹는 음료. 고소한 국내산 흑임자와
쫄깃한 국내산 흑임자 떡, 달콤한 블랙 소보로 토핑으로
제주의 돌 하르방 길을 느껴보세요.","[제주지역 한정음료] 제주 까망 라떼의 프라푸치노 버전으로 쫄깃한 국내산 흑임자 떡과 블랙 소보로 토핑으로 컵빙수처럼 먹는 음료. 고소한 국내산 흑임자와 쫄깃한 국내산 흑임자 떡, 달콤한 블랙 소보로 토핑으로 제주의 돌 하르방 길을 느껴보세요."
제주 쑥떡 크림 프라푸치노,Jeju Mugwort Cream Frappuccino,Grande(그란데) / 473ml (16 fl oz),460,250,10,57,8,0,대두 / 우유 / 밀,https://image.istarbucks.co.kr/upload/store/skuimg/2019/02/[9200000002090]_20190221165833072.jpg,"[제주지역 한정음료] 제주 쑥쑥 라떼의 시원한 버전으로
쫄깃쫄깃한 국내산 흑임자 떡으로
씹는 재미를 즐길 수 있는 음료.
제주 쑥과 국내산 흑임자 떡으로 제주 오름길을 느껴보세요.",[제주지역 한정음료] 제주 쑥쑥 라떼의 시원한 버전으로 쫄깃쫄깃한 국내산 흑임자 떡으로 씹는 재미를 즐길 수 있는 음료. 제주 쑥과 국내산 흑임자 떡으로 제주 오름길을 느껴보세요.
제주 유기농 말차로 만든 크림 프라푸치노,Malcha Cream Frappuccino From Jeju Organic Farm,Tall(톨) / 355ml (12 fl oz),185,140,2.2,31,4,60,우유,https://image.istarbucks.co.kr/upload/store/skuimg/2019/12/[9200000002502]_20191227095721775.jpg,깊고 진한 말차 본연의 맛과 향을 시원하고 부드럽게 즐길 수 있는 제주 유기농 말차로 만든 크림 프라푸치노를 만나보세요.,차광재배한 어린 녹찻잎을 곱게 간 제주 유기농 말차를 사용하였습니다. 깊고 진한 말차 본연의 맛과 향을 시원하고 부드럽게 즐길 수 있는 제주 유기농 말차로 만든 크림 프라푸치노를 만나보세요.
초콜릿 크림 칩 프라푸치노,Chocolate Cream Chip Frappuccino,Tall(톨) / 355ml (12 fl oz),370,266,7.5,44,11,10,대두 / 우유 / 밀,https://image.istarbucks.co.kr/upload/store/skuimg/2015/08/[168066]_20150806163214514.jpg,"모카시럽과 자바칩이 혼합된 크림 프라푸치노로 휘핑크림, 초콜렛 드리즐된 음료.
라이트 프라푸치노용 시럽 선택 가능-Tall 사이즈 기준, 25% 이상 줄어든 저당(Low Sugar)으로 즐기실 수 있습니다.",'나만의 프라푸치노'로 변경되어 우유 선택이 가능한 블렌디드 음료입니다. 신선한 우유와 크림 프라푸치노 특유의 풍미에달콤한 초콜릿 시럽과 초콜릿 칩이 더해져 오독오독 씹히는 맛이 특징적인 음료입니다.
초콜릿 크림 프라푸치노,Chocolate Cream Frappuccino,Tall(톨) / 355ml (12 fl oz),325,240,5.5,39,10,10,우유,https://image.istarbucks.co.kr/upload/store/skuimg/2015/08/[168057]_20150831180940747.jpg,"모카시럽이 혼합된 크림 프라푸치노에 휘핑크림, 초콜렛 드리즐로 완성된 음료.
라이트 프라푸치노용 시럽 선택 가능-Tall 사이즈 기준, 25% 이상 줄어든 저당(Low Sugar)으로 즐기실 수 있습니다.",'나만의 프라푸치노'로 변경되어 우유 선택이 가능한 블렌디드 음료입니다. 신선한 우유와 크림 프라푸치노 특유의 풍미에 달콤한 초콜릿 시럽의 조화에 휘핑크림과 초콜릿 드리즐로 마무리된 음료입니다.
화이트 딸기 크림 프라푸치노,White Strawberry Cream Frappuccino,Tall(톨) / 355ml (12 fl oz),360,170,11,54,4,0,대두 / 우유 / 토마토,https://image.istarbucks.co.kr/upload/store/skuimg/2019/04/[9200000002161]_20190423145431290.jpg,"달콤한 딸기 음료의 새로운 버전.
딸기에 눈이 소복이 쌓인 것 같은 비주얼에 풍부한 딸기 맛을
가볍게 즐길 수 있는 누구나 좋아하는 딸기 음료.
바닐라 크림 베이스로 더욱 깊은 딸기의 맛과 풍미를 즐겨보세요",달콤한 딸기 음료의 새로운 버전.
화이트 타이거 프라푸치노,White Tiger Frappuccino,Grande(그란데) / 473ml (16 fl oz),410,220,14,57,5,0,,https://image.istarbucks.co.kr/upload/store/skuimg/2019/07/[9200000002403]_20190711125729602.jpg,"밀크 쉐이크 같은 부드럽고 달콤한 바닐라 크림 프라푸치노에 깊은 풍미의 단맛을 가진 흑당시럽이 어우러져 용인에버랜드 백호의 줄무늬를 형상화한 부드럽고 달콤한 프라푸치노

* 용인에버랜드R 매장에서만 판매하는 음료입니다",밀크 쉐이크 같은 부드럽고 달콤한 바닐라 크림 프라푸치노에 깊은 풍미의 단맛을 가진 흑당시럽이 어우러져 용인에버랜드 백호의 줄무늬를 형상화한 부드럽고 달콤한 프라푸치노
제주 레드 빈 블렌디드,Jeju Red Bean Blended,Grande(그란데) / 473ml (16 fl oz),530,160,10,64,13,0,,https://image.istarbucks.co.kr/upload/store/skuimg/2020/02/[9200000002671]_20200220135607977.jpg,"[제주지역 한정음료] 제주 화산송이를 형상화한 음료로
국내산 레드 빈으로 표현한 뉴트로 음료로 고급진 레드 빈의 맛을
제주 스타벅스에서 더욱 시원하게 즐겨보세요.",[제주지역 한정음료] 제주 화산송이를 형상화한 음료로
제주 한라봉 블랙 티 블렌디드,Jeju Hallabong Black Tea Blended,Grande(그란데) / 473ml (16 fl oz),445,5,0,108,1,13,,https://image.istarbucks.co.kr/upload/store/skuimg/2020/02/[9200000002673]_20200220135746239.jpg,"[제주지역 한정음료] 제주 공원에서 볼 수 있는 튤립을
연상시키는 상큼한 타입의 티 블렌디드 음료.
제주 한라봉 베이스와 블랙 티가 만나 상큼한 티 블렌디드를
제주 스타벅스에서 즐겨보세요.",[제주지역 한정음료] 제주 공원에서 볼 수 있는 튤립을
망고 패션 후르츠 블렌디드,Mango Passion Fruit Blended,Tall(톨) / 355ml (12 fl oz),120,70,0,25,1,35,,https://image.istarbucks.co.kr/upload/store/skuimg/2016/09/[167004]_20160902191636973.jpg,진한 블랙 티에 망고 패션 후르츠 주스가 조합된 아이스 블렌드 음료,달콤한 망고 패션 후르츠 주스에 진하게 추출된 블랙 티를 얼음과 함께 블렌드한 음료로 깔끔하고 시원함이 특징적인 음료입니다.
딸기 요거트 블렌디드,Strawberry Yogurt Blended,Tall(톨) / 355ml (12 fl oz),250,128.4,0.9,48,8,0,우유 / 토마토,https://image.istarbucks.co.kr/upload/store/skuimg/2016/04/[9200000000044]_20160415132044486.jpg,딸기와 요거트의 상큼함이 가득 느껴지는 가벼운 컨셉의 블렌디드 음료입니다.,"리얼 요거트와 무지방 우유, 딸기가 어우러져 가볍고 상큼하게 즐길 수 있는 블렌디드 음료입니다. 식감과 풍미가 풍부하게 느껴지는 딸기를 요거트와 함께 음료로 즐겨보세요!"
망고 바나나 블렌디드,Mango Banana Blended,Grande(그란데) / 473ml (16 fl oz),270,110,1,48,4,0,우유,https://image.istarbucks.co.kr/upload/store/skuimg/2015/07/[169001]_20150723022552882.jpg,인기 음료인 망고 패션후르츠 블렌디드에 신선한 바나나 1개가 통째로 들어간 달콤한 프라푸치노,"달콤상큼한 망고 패션 후르츠 블렌디드에 신선한 바나나 1개를 통째로 넣고 우유, 얼음과 함께 곱게 갈아 제공되는 신개념 블렌디드. 취향에 따라 두유로도 선택이 가능하며 300kcal 이하의 열량으로 맛과 영양소를 동시에 섭취할 수 있는 음료입니다. 평소에 즐겨마시던 망고에 바나나를 더한다는 신선한 아이디어만큼이나 맛도 신선한 새로운 음료입니다. 음료 한잔으로 부드러운 맛 뿐만 아니라 든든함까지 얻을 수 있는 망고 바나나 블렌디드를 적극! 추천합니다."
익스트림 티 블렌디드,Extreme Tea Blended,Grande(그란데) / 473ml (16 fl oz),200,5,0,45,0,0,,https://image.istarbucks.co.kr/upload/store/skuimg/2019/07/[9200000002404]_20190711125823581.jpg,"시트러스한 베이스의 블렌디드에 매력적인 히비스커스 티(패션탱고티)가 어우러져 상큼함이 입안을 가득 채우는 익스트림 티 블렌디드

* 용인에버랜드R 매장에서만 판매하는 음료입니다",시트러스한 베이스의 블렌디드에 매력적인 히비스커스 티(패션탱고티)가 어우러져 상큼함이 입안을 가득 채우는 익스트림 티 블렌디드
자몽 셔벗 블렌디드,Grapefruit Sherbet Blended,Tall(톨) / 355ml (12 fl oz),225,15,0,51,1,0,,https://image.istarbucks.co.kr/upload/store/skuimg/2019/04/[9200000002153]_20190423145048072.jpg,"상큼함으로 끝까지 시원한 자몽 셔벗 블렌디드!
달콤 쌉싸름한 자몽과 상큼한 레모네이드가 얼음과 만나
셔벗처럼 가볍고 시원하게 즐길 수 있는 블렌디드 음료.",상큼함으로 끝까지 시원한 자몽 셔벗 블렌디드!
매직 팝 스플래쉬 피지오,Magic Pop Splash Fizzio™,Grande(그란데) / 473ml (16 fl oz),320,10,0,60,1,0,,https://image.istarbucks.co.kr/upload/store/skuimg/2019/07/[9200000002402]_20190711125640509.jpg,"신비한 보라색의 피지오가 팝시클이 녹으면서 핑크색으로 점차 변하며 마법이 일어난 것 같은 피지오 음료

* 용인에버랜드R 매장에서만 판매하는 음료입니다","상큼한 레모네이드에 파인애플, 패션후르츠의 달콤한 과육 그리고 열대과일 맛의 보라색 팝시클이 더해진 상큼하고 시원하게 즐길 수 있는 피지오. 보라색의 음료가 점차 핑크색으로 변하는 마법을 경험하게 되는 컬러풀한 피지오 음료"
블랙 티 레모네이드 피지오,Black Tea Lemonade Starbucks Fizzio™,Tall(톨) / 355ml (12 fl oz),65,0.2,0,17,0,35,,https://image.istarbucks.co.kr/upload/store/skuimg/2016/09/[107025]_20160905095924513.jpg,블랙 티와 상큼한 레모네이드를 스파클링한 시원하고 청량감 있는 음료입니다.,"진하게 우린 블랙 티와 상큼한 레모네이드를 더한 뒤, 스타벅스 만의 전용 머신을 이용해 스파클링한, 청량감 있는 음료입니다. 자칫 쌉싸름하게 느낄 수 있는 블랙 티를 레모네이드가 감싸주고, 목 넘김이 좋은 가벼운 탄산이 첨가되어 깔끔하게 즐길 수 있습니다."
쿨 라임 피지오,Cool Lime Starbucks Fizzio™,Tall(톨) / 355ml (12 fl oz),100,0,0,25,0,60,,https://image.istarbucks.co.kr/upload/store/skuimg/2015/08/[107051]_20150804111927377.jpg,그린 빈 추출액이 들어간 라임 베이스에 건조된 라임 슬라이스를 넣고 스파클링한 시원하고 청량감 있는 음료입니다. (카페인이 함유된 탄산음료입니다),2012년 출시되어 큰 사랑을 받았던 상큼한 쿨 라임이 스타벅스 피지오와 만나 더욱 프리미엄한 음료로 돌아왔습니다! 톡톡 튀는 수제 스파클링과 톡 쏘는 라임 풍미가 완벽하게 어우러진 쿨 라임 피지오와 함께 오늘 하루도 가볍고 활기차게 시작해 보세요!
패션 탱고 티 레모네이드 피지오,Passion Tango Tea Lemonade Starbucks Fizzio™,Tall(톨) / 355ml (12 fl oz),65,0.2,0,17,0,0,,https://image.istarbucks.co.kr/upload/store/skuimg/2016/09/[107031]_20160905102946376.jpg,패션 티와 상큼한 레모네이드를 스파클링한 시원하고 청량감 있는 음료입니다.,"상큼함이 특징인 패션 티를 진하게 우린 후 상큼한 레모네이드를 더한 뒤, 스타벅스 만의 전용 머신을 이용해 스파클링한, 청량감 있는 음료입니다. 꽃 향기와 달콤하고 상큼한 시트러스 향을 탄산과 함께 더욱 풍부하게 느끼고 싶으시다면 패션 티 레모네이드 피지오를 선택해 보세요! 언제 찾아도 기분이 좋아지는 훌륭한 음료입니다."
