name,en_name,size,kcal,sodium,sat_fat,sugar,protein,caffeine,allergy,image,desc_top,desc_bottom
아이스 라임 플로터,Iced Lime Floater,Grande(그란데) / 473ml (16 fl oz),110,6.5,0,27,0.3,7,,https://image.istarbucks.co.kr/upload/store/skuimg/2017/02/[9200000000429]_20170220161700284.jpg,"[더종로R,청담스타R,한강진역R,홍대입구역사거리R 전용음료] 라임, 민트 그리고 리저브 콜드 브루 샷으로 스타벅스 리저브만의 색깔로 변주한 모히토 음료입니다.","[더종로R,청담스타R,한강진역R,홍대입구역사거리R 전용음료] 라임, 민트 그리고 리저브 콜드 브루 샷으로 스타벅스 리저브만의 색깔로 변주한 모히토 음료입니다."
아이스 오렌지 플로터,Iced Orange Floater,Grande(그란데) / 473ml (16 fl oz),100,7,0,22,0.6,7,,https://image.istarbucks.co.kr/upload/store/skuimg/2017/02/[9200000000428]_20170220161626370.jpg,"[더종로R,청담스타R,한강진역R,홍대입구역사거리R 전용음료] 오렌지의 상큼함과 리저브 콜드 브루 샷이 상쾌하게 느껴지는 리프레쉬 음료입니다.","[더종로R,청담스타R,한강진역R,홍대입구역사거리R 전용음료] 오렌지의 상큼함과 리저브 콜드 브루 샷이 상쾌하게 느껴지는 리프레쉬 음료입니다."
아이스 와일드 베리 플로터,Iced Wild Berry Floater,Grande(그란데) / 473ml (16 fl oz),130,9,0,28,1,7,,https://image.istarbucks.co.kr/upload/store/skuimg/2017/12/[9200000001085]_20171218140353639.jpg,"[더종로R,청담스타R,한강진역R,홍대입구역사거리R 전용음료] 블랙베리, 딸기, 스파이스 그리고 리저브 콜드 브루 샷이 어우러진 리프레쉬 음료입니다.","[더종로R,청담스타R,한강진역R,홍대입구역사거리R 전용음료] 블렉베리, 딸기, 스파이스 그리고 리저브 콜드 브루 샷이 어우러진 리프레쉬 음료입니다."
아이스 제주 까망 라떼,Iced Jeju Black Sesame Latte,Grande(그란데) / 473ml (16 fl oz),225,130,11,13,8,0,우유 / 오징어,https://image.istarbucks.co.kr/upload/store/skuimg/2018/04/[9200000001302]_20180418152834957.jpg,"[제주지역 한정음료] 제주도의 돌담길과 하르방의 풍경을 제주 까망 라떼로 느껴보세요.
고소한 흑임자와 달콤한 소보로 토핑으로 시원하게 누구나 즐길 수 있는 음료입니다.",[제주지역 한정음료] 제주도의 돌담길과 하르방의 풍경을 제주 까망 라떼로 느껴보세요.
우유,Milk,Tall(톨) / 355ml (12 fl oz),240,200,8,18,12,0,우유,https://image.istarbucks.co.kr/upload/store/skuimg/2015/07/[18]_20150723002143240.jpg,고소하고 담백한 신선한 우유.,고소하고 담백한 신선한 우유입니다.
제주 까망 라떼,Jeju Black Sesame Latte,Grande(그란데) / 473ml (16 fl oz),225,170,7,18,10,0,우유 / 오징어,https://image.istarbucks.co.kr/upload/store/skuimg/2018/04/[9200000001301]_20180418152720677.jpg,"[제주지역 한정음료] 제주도의 돌담길과 하르방의 풍경을 제주 까망 라떼로 느껴보세요.
고소한 흑임자와 달콤한 소보로 토핑으로 누구나 즐길 수 있는 음료입니다.",[제주지역 한정음료] 제주도의 돌담길과 하르방의 풍경을 제주 까망 라떼로 느껴보세요.
제주 쑥쑥 라떼,Jeju Mugwort Latte,Grande(그란데) / 473ml (16 fl oz),425,210,9,50,16,0,대두 / 우유,https://image.istarbucks.co.kr/upload/store/skuimg/2019/02/[9200000002089]_20190221165720149.jpg,"[제주지역 한정음료] 제주의 푸릇푸릇한 쑥 향을 느끼며 건강과
힐링을 즐기는 음료로 제주의 오름길을 상징하는 음료.
제주 쑥으로 향긋하고 푸릇푸릇한 쑥 향을 느끼며
건강과 힐링을 느낄 수 있는 Non Coffee음료.",[제주지역 한정음료] 제주의 푸릇푸릇한 쑥 향을 느끼며 건강과 힐링을 즐기는 음료로 제주의 오름길을 상징하는 음료. 제주 쑥으로 향긋하고 푸릇푸릇한 쑥 향을 느끼며 건강과 힐링을 느낄 수 있는 Non Coffee음료.
레드 선라이즈 270ML,Red Sunrise 270ML,270 ml,130,10,0,27,1,0,,https://image.istarbucks.co.kr/upload/store/skuimg/2019/06/[9300000002118]_20190626102229661.jpg,강렬한 에너지가 느껴지는 뿌리 채소와 상큼한 과일,
옐로우 패션 270ML,Yellow Passion 270ML,270 ml,145,5,0,31,1,0,,https://image.istarbucks.co.kr/upload/store/skuimg/2019/06/[9300000002119]_20190626102349286.jpg,생기 발랄함이 가득 느껴지는 사과와 패션후르츠,
파인 그린 270ML,Fine Green 270ML,270 ml,140,5,0,28,1,0,,https://image.istarbucks.co.kr/upload/store/skuimg/2019/06/[9300000002117]_20190626101849029.jpg,초록의 싱그러움을 가득 담은 초록 채소와 열대 과일,
딸기주스 190ML,Strawberry Juice 190ML,190 ml,100,15,0,19,1,0,,https://image.istarbucks.co.kr/upload/store/skuimg/2019/06/[5210008070]_20190627152902146.jpg,달콤한 국내산 딸기의 과육이 듬뿍 느껴지는 주스,
망고주스 190ML,Mango Juice 190ML,190 ml,112,35,0,24,1,0,,https://image.istarbucks.co.kr/upload/store/skuimg/2019/06/[5210008061]_20190627152423130.jpg,노랗게 익은 열대과일 망고가 입안 가득 느껴지는 주스,
수박주스 190ML,Watermelon Juice 190ML,190 ml,90,30,0,18,2,0,,https://image.istarbucks.co.kr/upload/store/skuimg/2019/06/[9300000002115]_20190626101440372.jpg,수박의 시원함과 달콤함이 풍성하게 느껴지는 주스,
케일&사과주스 190ML,Kale&Apple Juice 190ML,190 ml,135,20,0,26,2,0,,https://image.istarbucks.co.kr/upload/store/skuimg/2019/06/[5210008072]_20190627153051165.jpg,국내산 케일과 사과의 달콤함이 조화로운 녹색 주스,
토마토주스 190ML,Tomato Juice 190ML,190 ml,70,120,0,17,1,0,토마토,https://image.istarbucks.co.kr/upload/store/skuimg/2019/06/[5210008074]_20190627153254176.jpg,국내산 토마토의 풍성한 과육이 듬뿍 담겨있는 주스,
한라봉주스 190ML,Hallabong Juice 190ML,190 ml,88,40,0,20,1,0,,https://image.istarbucks.co.kr/upload/store/skuimg/2019/06/[5210008055]_20190627152215054.jpg,새콤달콤한 황금빛 제주 한라봉을 그대로 담아낸 주스,
햇사과 주스 190ML,Newly Harvested Apple Juice 190ML,190 ml,113,10,0,27,0.2,0,,https://image.istarbucks.co.kr/upload/store/skuimg/2019/12/[9300000002565]_20191205134634845.jpg,"햇사과 1개 반을 껍질 그대로 착즙한 사과 주스.
달콤새콤한 사과 주스를 신선하게 즐겨 보세요.",
홍시주스 190ML,Soft Persimmon Juice 190ML,190 ml,125,15,0,19,1,0,,https://image.istarbucks.co.kr/upload/store/skuimg/2019/12/[9300000002564]_20191205134551804.jpg,"감나무에 대롱대롱 잘 익은 홍시를 바로 따서 '후루룩~~' 마시는 식감
그대로의 홍시 주스.
""홍시 맛이 나서 홍시 주스이옵니다.""",
블루베리 요거트 190ML,Blueberry Yogurt 190ML,190 ml,155,70,3.6,18,5,0,우유,https://image.istarbucks.co.kr/upload/store/skuimg/2019/06/[5210008063]_20190627152600395.jpg,블루베리 과육이 입안 가득 느껴지는 마시는 요거트,
치아씨드 요거트 190ML,Chiaseed Yogurt 190ML,190 ml,145,70,3.9,14,6,0,우유,https://image.istarbucks.co.kr/upload/store/skuimg/2019/06/[5210008064]_20190627152728532.jpg,톡톡 터지는 치아 씨드가 입안 가득 느껴지는 마시는 요거트,
